SID,Session
819152,11AM
819862,10AM
820975,11AM
821341,10AM
824280,11AM
824648,10AM
825908,10AM
827376,11AM
830053,11AM
830430,10AM
832295,11AM
835237,10AM
836758,10AM
839244,10AM
839996,11AM
841743,11AM
842865,11AM
843803,10AM
843958,10AM
844115,11AM
846215,11AM
847263,10AM
849450,11AM
849671,11AM
849838,10AM
850474,10AM
852336,11AM
853853,11AM
855297,10AM
855756,11AM
859549,11AM
860605,10AM
861703,11AM
863574,10AM
866032,10AM
867284,11AM
870147,11AM
870300,10AM
870439,11AM
870964,11AM
871175,10AM
872668,11AM
875340,10AM
877354,10AM
877631,10AM
881761,11AM
882138,10AM
885244,11AM
886746,10AM
886973,10AM
887088,11AM
887468,10AM
888538,10AM
888943,10AM
890055,10AM
891432,11AM
891932,11AM
892508,10AM
893468,11AM
894233,11AM
894438,10AM
894956,10AM
895821,10AM
899383,10AM
900687,10AM
900863,11AM
901130,10AM
902575,10AM
902812,11AM
903522,10AM
906364,11AM
907563,11AM
911558,11AM
912024,11AM
913864,10AM
914043,10AM
915008,10AM
915121,10AM
915743,11AM
916320,11AM
917014,11AM
918036,10AM
920816,11AM
921186,10AM
924336,10AM
924357,10AM
924502,10AM
929341,10AM
931765,11AM
933585,10AM
934909,11AM
938978,10AM
940433,11AM
940933,11AM
944406,11AM
944749,10AM
946693,11AM
947395,10AM
951847,10AM
951974,11AM
952168,11AM
955323,10AM
956291,11AM
956887,11AM
957994,10AM
960999,11AM
961539,11AM
961553,11AM
962425,10AM
965477,10AM
971015,11AM
971745,11AM
972517,10AM
973367,11AM
974294,11AM
974324,10AM
975048,10AM
976169,11AM
978982,10AM
982125,11AM
986063,11AM
987062,10AM
991312,11AM
991697,10AM
993784,11AM
993865,11AM
994211,10AM
994948,10AM
997720,10AM
999287,11AM
999883,10AM
